,id,name,domain,founded_at,state_code,country_code,entity_type,category_code,funding_total_usd,milestones,industry,size range,current employee estimate,num_employees_bucket,page_rank_value
5991,c:164569,Aerial BioPharma,aerialbio.com,,NC,USA,Company,biotech,19500000,,pharmaceuticals,1 - 10,0,1,8.240048903392209e-09
5992,c:164582,OPTiiM,optiim.com,2011-11-01,,TUR,Company,consulting,,,information technology and services,51 - 200,35,1,6.778855589063988e-09
5993,c:164584,OTS Solutions,otssolutions.com,2002-12-03,,IND,Company,software,,1,computer software,51 - 200,83,50,1.15427257718596e-07
5995,c:1646,Mobissimo,mobissimo.com,2003-10-01,CA,USA,Company,search,1000000,,"leisure, travel & tourism",1 - 10,2,1,1.1177050512367498e-07
5997,c:164600,Waratek,waratek.com,2002-01-01,,IRL,Company,software,,1,computer software,51 - 200,34,1,1.8253189416238301e-07
5998,c:164604,Mastbaby,mastbaby.com,2011-11-15,,IND,Company,ecommerce,,,retail,1 - 10,1,1,4.5640388260939e-09
5999,c:164628,Bliss Applications,blissapplications.com,,,PRT,Company,,,1,computer software,51 - 200,38,1,1.95382906663385e-08
6000,c:164639,Bytes,bytes.co.uk,1982-02-25,,GBR,Company,software,,2,computer software,201 - 500,167,1000,1.14323957143321e-07
6001,c:164648,Revolution Digital,revolutiondigital.com,,NJ,USA,Company,advertising,,,marketing and advertising,51 - 200,38,1,1.6610417149680302e-08
6002,c:164660,TraxNYC,traxnyc.com,2005-01-01,NY,USA,Company,web,,,apparel & fashion,1 - 10,3,1,8.902248911301151e-08
6003,c:164662,eeGeo,eegeo.com,,,GBR,Company,software,4300000,,computer software,11 - 50,12,1,1.2256896295243499e-07
6004,c:164675,Flare3d,flare3d.com,2010-08-30,,ARG,Company,games_video,,3,computer games,1 - 10,3,1,6.53713077971938e-08
6005,c:172010,Flared3D,flare3d.com,2011-01-01,,,Company,games_video,25000,,computer games,1 - 10,3,1,6.53713077971938e-08
6007,c:164696,Servosity,servosity.com,2007-10-01,SC,USA,Company,software,,1,information technology and services,1 - 10,5,1,1.82322851037173e-08
6009,c:1647,Acquia,acquia.com,2007-12-01,MA,USA,Company,enterprise,68500000,5,computer software,1001 - 5000,611,500,6.14002214670449e-06
6011,c:16470,Aristotle,aristotle.com,1983-01-01,DC,USA,Company,software,,,information technology and services,51 - 200,95,50,5.520584621619221e-07
6012,c:164726,Wywy,wywy.com,,,DEU,Company,software,10046250,1,marketing and advertising,11 - 50,8,1,5.318649022867011e-07
6013,c:164728,Entrupy,entrupy.com,2012-03-09,,,Company,enterprise,,,internet,11 - 50,10,1,8.79522897352465e-08
6015,c:164748,Zhihu,zhihu.com,,,,Company,web,,,internet,201 - 500,114,1,7.11620453195148e-06
6016,c:164751,Technogics,technogics.com,1999-08-09,FL,USA,Company,ecommerce,,,information technology and services,1 - 10,3,50,1.06071793038134e-08
6017,c:164754,HitFox Group,hitfoxgroup.com,2011-05-01,,DEU,Company,games_video,,2,marketing and advertising,51 - 200,32,200,1.3973148393376e-07
6018,c:164764,Travelkhana.com,travelkhana.com,2011-12-15,,IND,Company,software,,,utilities,51 - 200,20,1,5.27447294648167e-08
6019,c:164769,Jelastic,jelastic.com,2011-01-01,CA,USA,Company,software,,2,information technology and services,51 - 200,39,1,6.447946749469941e-07
6020,c:63937,Hivext Technologies,jelastic.com,2010-10-21,CA,USA,Company,network_hosting,2500000,1,information technology and services,51 - 200,39,1,6.447946749469941e-07
6022,c:164782,MBA Trading Group,mbatradinginc.com,2008-01-12,CA,USA,Company,web,,,wholesale,1 - 10,1,1,5.213811230039939e-09
6023,c:164796,GrowersHouse.com,growershouse.com,2011-01-01,AZ,USA,Company,ecommerce,,1,farming,1 - 10,3,1,5.86747615732579e-08
6024,c:164797,fishfishme,fishfishme.com,2012-06-01,,ESP,Company,travel,50000,1,"leisure, travel & tourism",1 - 10,3,1,1.95435849929167e-08
6025,c:164807,RedCap,myredcap.com,2010-01-01,FL,USA,Company,mobile,,1,transportation/trucking/railroad,51 - 200,38,50,1.3608972410560602e-08
6026,c:164808,Fluid UI,fluidui.com,2010-08-01,,,Company,web,,1,information technology and services,11 - 50,7,1,4.5483225240094497e-07
6027,c:164820,Ivideon,ivideon.com,2010-04-01,,,Company,software,,,internet,51 - 200,49,50,1.1735460380017201e-06
6029,c:164828,eevzdrop,eevzdrop.com,2011-01-01,IL,USA,Company,software,,1,computer software,1 - 10,1,1,7.766123119785741e-09
6030,c:16483,Alachisoft,alachisoft.com,2004-01-01,CA,USA,Company,software,,1,information technology and services,51 - 200,19,1,1.1419676328647802e-07
6033,c:164833,QBOT,qbot.com,2010-02-01,AR,USA,Company,advertising,,1,marketing and advertising,1 - 10,5,1,1.89791993151995e-08
6034,c:164852,Roamsoft Tech,roamsofttech.com,2008-05-10,NY,USA,Company,software,,,information technology and services,51 - 200,24,1,3.4881527560370395e-08
6035,c:79605,Roamsoft Technologies,roamsofttech.com,2010-05-10,,,Company,software,,,information technology and services,51 - 200,24,1,3.4881527560370395e-08
6037,c:164855,frumatic,frumatic.com,2010-01-01,,RUS,Company,web,,1,information technology and services,51 - 200,19,1,1.3581346171576399e-08
6038,c:16486,NEOS,neosllc.com,1999-06-01,CT,USA,Company,consulting,,,management consulting,11 - 50,19,1,7.97414976248833e-09
6039,c:164862,Media Xpress,mediaxpress.net,1975-03-19,MT,USA,Company,software,,,marketing and advertising,1 - 10,1,1,1.23780641744549e-08
6041,c:164866,Velo Marketing,velomarketing.co.uk,2010-03-01,,GBR,Company,advertising,,1,marketing and advertising,11 - 50,13,1,2.2876151087477997e-08
6042,c:164873,Carta Worldwide,cartaworldwide.com,2008-01-01,,CAN,Company,other,2000000,,financial services,51 - 200,56,1,2.59279902544177e-08
6043,c:16488,Digital Performance,digitalperformance.com,2002-01-01,CA,USA,Company,advertising,4476171,,information technology and services,1 - 10,2,1,6.589153652197679e-09
6044,c:164882,Safetica Technologies,safetica.com,2004-01-01,,CZE,Company,software,,,information technology and services,51 - 200,34,50,3.76964679202915e-08
6046,c:164885,Bulpros Consulting,bulpros.com,2010-01-01,,BGR,Company,consulting,,,information technology and services,501 - 1000,179,200,7.48980326299454e-08
6047,c:164887,submitshop,submitshop.com,1998-01-16,,IND,Company,search,,1,information technology and services,1 - 10,2,200,1.3222460612894198e-07
6048,c:164889,Snapbid Merchandise Private Limited,snapbid.in,2011-12-21,,IND,Company,ecommerce,,,internet,1 - 10,1,1,4.48133285995471e-09
6049,c:164892,ExoClick,exoclick.com,2006-12-01,,ESP,Company,advertising,,1,internet,51 - 200,56,50,1.29766375840401e-05
6050,c:164909,Xendpay,xendpay.com,2005-01-01,,GBR,Company,other,,1,financial services,1 - 10,4,50,4.77442496341129e-08
6051,c:164915,Mobee,getmobee.com,2012-01-01,MA,USA,Company,analytics,1100000,2,retail,11 - 50,9,1,4.9576253984870994e-08
6052,c:164929,Patron Technology,patrontechnology.com,2001-01-01,NY,USA,Company,enterprise,3100000,,computer software,11 - 50,8,50,3.92757454602097e-07
6053,c:164958,MyCorporation,mycorporation.com,1997-01-01,CA,USA,Company,web,,1,legal services,51 - 200,32,50,2.66860962394083e-06
6054,c:16496,Targetprocess,targetprocess.com,2006-01-01,NY,USA,Company,software,,,computer software,51 - 200,78,50,5.52510866701921e-07
6056,c:164966,Day2Day Printing,day2dayprinting.com,,CA,USA,Company,ecommerce,,,printing,1 - 10,3,1,1.50227682152296e-08
6057,c:164969,FoldiMate,foldimate.com,2010-01-01,CA,USA,Company,other,,,consumer electronics,11 - 50,11,1,2.00636553978976e-07
6058,c:16497,Talldude Networks,jamroom.net,2003-07-01,,USA,Company,software,,,computer software,1 - 10,0,50,1.8984649783843397e-07
6059,c:164972,DPC DATA,dpcdata.com,,NJ,USA,Company,other,,,information services,11 - 50,19,1,8.71086757492752e-08
6060,c:164975,Gaming Partners International,gpigaming.com,,NV,USA,Company,games_video,,,gambling & casinos,51 - 200,92,500,2.4828079302636803e-08
6061,c:164980,Harland Clarke Holdings,harlandclarke.com,,,,Company,other,,2,financial services,1001 - 5000,1423,1000,7.21987765504648e-07
6062,c:16499,Small Business Technology Solutions,seeus4it.com,2004-01-01,WI,USA,Company,consulting,,1,information technology and services,1 - 10,1,1,1.47067249116117e-08
6063,c:16500,CTERA Networks,ctera.com,2008-05-01,,ISR,Company,enterprise,,1,computer software,51 - 200,87,50,2.9581424243429103e-07
6066,c:165001,OnlineOrdering.com,onlineordering.com,2010-01-01,NY,USA,Company,ecommerce,,1,consumer services,1 - 10,3,50,1.02302800677404e-08
6067,c:165017,AppViewX,appviewx.com,,TX,USA,Company,software,,,computer software,201 - 500,131,200,4.56390628355365e-08
6068,c:165023,EarlyDoc,earlydoc.com,2011-01-01,,NLD,Company,health,,1,management consulting,1 - 10,1,1,3.9815619160098496e-08
6069,c:165033,Cloudsoft Corporation,cloudsoftcorp.com,2009-04-01,,GBR,Company,software,,1,computer software,51 - 200,32,1,1.5018553289468902e-07
6070,c:165052,Milestone Technologies,milestonepowered.com,,CA,USA,Company,,,,information technology and services,1001 - 5000,678,500,1.7152932726572702e-08
6071,c:165060,Transversal,transversal.com,,,GBR,Company,software,,,computer software,51 - 200,78,1,1.86282909349916e-07
6072,c:165066,Letmedco,letmedco.com,2003-06-15,NY,USA,Company,ecommerce,,,"health, wellness and fitness",1 - 10,2,1,5.21778348032656e-09
6073,c:16508,Sports Reference,sports-reference.com,2007-12-04,PA,USA,Company,games_video,,1,internet,1 - 10,4,1,9.594755766607291e-07
6075,c:165080,BestMatch,bestmat.ch,2012-04-01,,ISR,Company,ecommerce,,,internet,1 - 10,0,1,1.4482866535437098e-08
6076,c:165081,SOMAX,somax.com,1988-01-01,GA,USA,Company,software,,1,computer software,1 - 10,5,1,7.86819365065144e-09
6077,c:165086,payasUgym,payasugym.com,2010-01-01,,GBR,Company,search,1472545,3,"leisure, travel & tourism",11 - 50,23,50,1.0105007079535e-07
6078,c:165088,Cycle30,cycle30.com,,WA,USA,Company,enterprise,,,information technology and services,1 - 10,5,50,1.1877183359875801e-08
6079,c:165089,Insight Worldwide,insightww.com,2000-01-01,OR,USA,Company,enterprise,,,information services,11 - 50,8,1,1.4477149125362e-08
6081,c:165090,Reelhouse,reelhouse.org,2011-09-01,,CAN,Company,games_video,,1,entertainment,1 - 10,2,1,7.417412042383641e-07
6082,c:1651,Chumby,chumby.com,2005-01-01,CA,USA,Company,hardware,17500000,4,consumer electronics,1 - 10,1,1,4.85179806987603e-07
6084,c:165105,boomtrain,boomtrain.com,2012-06-01,CA,USA,Company,software,,1,computer software,11 - 50,25,1,4.03877622093861e-07
6085,c:165108,MarkTeQ,markteq.com,2011-01-01,,,Company,software,,,information technology and services,1 - 10,2,1,7.353501621675959e-09
6086,c:16511,Ideup,ideup.com,2003-01-01,,ESP,Company,consulting,,1,telecommunications,11 - 50,5,50,3.28699398795645e-08
6087,c:165114,MarkITx,markitx.com,2012-04-01,IL,USA,Company,ecommerce,5964793,1,information technology and services,1 - 10,2,1,2.4744807166767902e-08
6088,c:165117,IMA Interactive,imainteractive.com,2004-09-04,CA,USA,Company,advertising,,1,marketing and advertising,1 - 10,1,1,8.00368242008165e-09
6089,c:165120,"Independent Producers of America (IPA Family, IPA America)",ipafamily.com,1987-09-15,,,Company,consulting,,,insurance,51 - 200,68,500,5.94610025349181e-09
6090,c:165123,NTBS New Technology Business Solutions,ntbs.com,,,NZL,Company,software,,,computer software,11 - 50,5,1,5.05581071778508e-09
6091,c:165124,Revolv,revolv.com,2012-05-02,CO,USA,Company,software,6818000,2,computer software,1 - 10,1,1,2.85563750417e-07
6092,c:165127,RingDNA,ringdna.com,2012-01-01,CA,USA,Company,enterprise,1900000,2,information technology and services,11 - 50,22,50,1.62115337581777e-06
6094,c:16513,FunAdvice,funadvice.com,2003-01-01,FL,USA,Company,web,,2,internet,1 - 10,1,1,1.3739979264972402e-07
6095,c:165134,Tapingo,tapingo.com,2012-01-01,CA,USA,Company,mobile,3500000,1,computer software,201 - 500,116,50,2.76646537728806e-07
6096,c:165135,Logentries,logentries.com,2010-08-01,,IRL,Company,software,11100000,1,computer software,11 - 50,7,1,8.902292784430521e-07
6097,c:165140,Morris Technologies,morristech.com,1994-01-01,OH,USA,Company,,,1,design,11 - 50,23,50,9.73815157806799e-09
6098,c:165141,Evolution1,evolution1.com,,,,Company,,,1,information technology and services,11 - 50,7,1000,4.84976441607313e-08
6099,c:16516,PSS Systems,pss-systems.com,,CA,USA,Company,legal,23000000,1,computer software,11 - 50,19,50,3.51262930242304e-08
6100,c:165184,Boom Inc.,useboom.com,,CA,USA,Company,mobile,17000000,,financial services,11 - 50,16,1,1.2792460798669499e-08
6101,c:43573,Boom Financial,useboom.com,2008-01-01,CA,USA,Company,finance,28729469,1,financial services,11 - 50,16,1,1.2792460798669499e-08
6103,c:165191,Retention Science,retentionscience.com,2011-01-01,CA,USA,Company,analytics,,1,computer software,51 - 200,30,50,7.71700026958148e-07
6105,c:165194,Tecomet,tecomet.com,,MA,USA,Company,,,1,medical devices,501 - 1000,284,1000,4.56045308389853e-08
6106,c:165224,OrderAhead,orderaheadapp.com,2011-08-01,,,Company,mobile,2500000,2,internet,11 - 50,6,1,2.0626665245567399e-07
6107,c:165228,Jetlore,jetlore.com,2011-01-01,CA,USA,Company,enterprise,,1,marketing and advertising,11 - 50,16,1,9.723023099515841e-07
6108,c:165234,Acculynk,acculynk.com,2008-01-01,GA,USA,Company,ecommerce,,1,financial services,11 - 50,8,1,5.25410982462998e-08
6109,c:165239,Sustainability Dashboard,green2sustainable.com,2011-11-15,,,Company,software,,,environmental services,1 - 10,5,1,1.94968445213702e-08
6110,c:16524,PayCommerce,paycommerce.com,2004-08-01,NJ,USA,Company,software,,1,financial services,51 - 200,36,50,3.2398820753454e-08
6112,c:165242,Adprime Media,adprimemedia.com,2006-01-01,,,Company,advertising,,,marketing and advertising,11 - 50,23,1,7.80916955170603e-08
6113,c:165245,ZoomTilt,zoomtilt.com,,MA,USA,Company,games_video,88000,2,internet,1 - 10,0,1,2.48726228433892e-08
6114,c:165257,Obalon Therapeutics,obalon.com,2008-01-01,CA,USA,Company,medical,23000000,,medical devices,51 - 200,47,50,5.85436227463212e-08
6115,c:165258,PulsePoint,pulsepoint.com,2011-09-01,NY,USA,Company,advertising,13485455,1,marketing and advertising,51 - 200,81,50,3.4331168865344798e-06
6116,c:165261,Bomoda,bomoda.com,,NY,USA,Company,fashion,2200000,,internet,11 - 50,7,1,8.54449008405928e-08
6117,c:165262,Perfect Earth,perfectearthinternational.com,2012-10-01,,NLD,Company,games_video,,1,entertainment,1 - 10,2,1,4.9406488018143e-09
6118,c:165273,"ConfPlus, Inc.",confplusapp.com,2012-05-11,,,Company,software,,1,events services,1 - 10,5,1,2.18663470711898e-08
6119,c:165278,Open iT Inc.,openit.com,1999-01-01,TX,USA,Company,software,,,computer software,51 - 200,85,50,2.6522668007604704e-08
6120,c:165283,Attrecto Innovations Corp,attrecto.com,2012-01-17,,,Company,software,,,information technology and services,51 - 200,34,50,3.11604198462196e-08
6121,c:1653,GlobalGiving,globalgiving.org,2003-01-01,DC,USA,Company,web,,,philanthropy,51 - 200,59,1,4.669743836470749e-06
6122,c:165300,GeekyWorks,geekyworks.com,2009-07-09,,IND,Company,software,,1,computer software,11 - 50,14,1,6.26321956356718e-09
6123,c:165323,Shibumi,shibumi.com,2011-01-01,CA,USA,Company,enterprise,1863397,,internet,51 - 200,26,50,7.02493487726769e-09
6124,c:165325,CareOne Services Inc.,careonecredit.com,,MD,USA,Company,other,,,financial services,51 - 200,27,50,1.00781348299356e-07
6125,c:165336,Zipongo,zipongo.com,2010-03-12,CA,USA,Company,health,2500000,1,"health, wellness and fitness",51 - 200,62,50,1.00525204433234e-07
6126,c:165343,GradeBeam,gradebeam.com,,,,Company,other,,,construction,1 - 10,1,50,5.2615717485753e-08
6127,c:165353,import?io,import.io,2012-06-21,,GBR,Company,software,1300000,2,information technology and services,51 - 200,26,50,7.750135772379559e-07
6129,c:165367,NewAge SMB,newagesmb.com,2001-01-01,,IND,Company,software,,,information technology and services,51 - 200,41,50,1.2241912572031298e-08
6130,c:165368,MWPVL International,mwpvl.com,2006-12-30,,CAN,Company,consulting,,2,logistics and supply chain,1 - 10,5,1,1.6093725954637698e-07
6132,c:1654,Apple,apple.com,1976-04-01,CA,USA,Company,hardware,,4,consumer electronics,10001+,90095,10000,0.0017740472083719898
6149,c:165413,Privcap,privcap.com,,NY,USA,Company,news,,,media production,11 - 50,10,1,9.576616606658009e-08
6150,c:165445,AmCheck,amcheck.com,1996-01-01,,,Company,consulting,,,human resources,201 - 500,118,1000,5.800056752565299e-08
6151,c:165447,WSI WORLD,wsiworld.com,,,,Company,software,,1,marketing and advertising,501 - 1000,489,50,4.927612144388829e-07
6152,c:52656,WSI Onlinebiz,wsiworld.com,2009-11-01,,GBR,Company,consulting,50000,1,marketing and advertising,501 - 1000,489,50,4.927612144388829e-07
6153,c:165451,Debt Free Living Ltd,debtfreelivingltd.com,2002-09-22,,,Company,consulting,,,financial services,11 - 50,4,1,4.48200286346205e-09
6154,c:165452,Sooqini,sooqini.com,2011-07-01,,GBR,Company,mobile,500000,2,internet,1 - 10,2,1,2.00812573973226e-08
6155,c:165461,FTJ FundChoice,ftjfundchoice.com,2001-01-01,KY,USA,Company,,,1,financial services,51 - 200,66,50,4.2872012242318496e-08
6156,c:165466,Artec Group Inc,artec3d.com,,,LUX,Company,hardware,,1,information technology and services,51 - 200,58,50,3.86537872661109e-07
6157,c:165481,Tataatsu Idealabs,tataatsu.com,2011-11-01,,IND,Company,software,,1,computer software,11 - 50,9,1,1.52675671734291e-08
6158,c:165491,testbirds,testbirds.com,2011-01-01,,DEU,Company,enterprise,,,information technology and services,201 - 500,117,50,1.6196670157033998e-07
6159,c:165494,Epitome Networks,epitomenetworks.com,2008-01-01,,,Company,,,,information technology and services,51 - 200,38,1,1.30394383510434e-08
6160,c:165498,Main Street,main.st,2012-07-01,CA,USA,Company,other,,1,internet,1 - 10,1,1,4.63057615479106e-09
6161,c:16550,FACE Africa,faceafrica.org,2007-01-01,MA,USA,Company,other,,,non-profit organization management,1 - 10,4,1,6.5122474509107e-08
6162,c:165505,Fusion Optix,fusionoptix.com,2003-01-01,MA,USA,Company,cleantech,,,electrical/electronic manufacturing,11 - 50,12,1,8.059785826653e-09
6163,c:16551,Fidelis Security Systems,fidelissecurity.com,2002-01-01,MD,USA,Company,enterprise,28415704,,computer & network security,201 - 500,141,200,5.033580914334171e-07
6164,c:165510,numero,thisisnumero.com,2001-01-01,,,Company,software,,,computer software,51 - 200,38,50,5.35718219853459e-08
6165,c:165531,E Core Software Inc,ecoresoftware.com,,,,Company,other,,,information technology and services,11 - 50,6,1,7.1067294673838e-08
6166,c:16556,ScaleMP,scalemp.com,2009-10-02,CA,USA,Company,software,8000000,1,computer software,11 - 50,13,1,5.45399876118307e-08
6167,c:165562,Think Through Learning,thinkthroughmath.com,2006-04-01,PA,USA,Company,education,5600000,1,e-learning,51 - 200,34,50,1.66322285722187e-07
6168,c:165568,Founder Institute Los Angeles,fi.co,,,,Company,,,1,professional training & coaching,1001 - 5000,914,1,1.46874155216366e-06
6169,c:165570,Founder Institute New York,fi.co,,,,Company,,,1,professional training & coaching,1001 - 5000,914,1,1.46874155216366e-06
6170,c:19612,Founder Institute,fi.co,2009-04-16,CA,USA,Company,other,,2,professional training & coaching,1001 - 5000,914,1,1.46874155216366e-06
6171,c:165582,Actuant,actuant.com,,WI,USA,Company,,,,mechanical or industrial engineering,501 - 1000,454,500,6.87903206383819e-08
6172,c:16559,Nangate,nangate.com,2004-01-01,CA,USA,Company,mobile,35000000,,semiconductors,11 - 50,8,1,2.3147081433935e-08
6173,c:165596,Zidisha,zidisha.org,2009-10-15,VA,USA,Company,web,,1,non-profit organization management,11 - 50,15,1,1.1067780586608501e-07
6174,c:1656,One Laptop Per Child,laptop.org,2005-01-01,MA,USA,Company,web,,4,computer hardware,51 - 200,26,1,7.280432819177991e-06
6176,c:16564,NorthStar Systems International,northstar.com,2001-01-01,CA,USA,Company,software,29500000,1,environmental services,51 - 200,54,1000,6.25134410921878e-08
6177,c:16566,Daddy Design,daddydesign.com,2004-01-01,FL,USA,Company,other,,,graphic design,1 - 10,1,1,2.93721739867357e-07
6180,c:16567,DisplayLink,displaylink.com,2003-01-01,CA,USA,Company,hardware,89950000,2,semiconductors,201 - 500,130,50,6.44688596285388e-07
6181,c:165670,Antares Vision,antaresvision.com,,,ITA,Company,security,6100000,,electrical/electronic manufacturing,201 - 500,149,1,6.137591424445781e-08
6182,c:165671,Kewill,kewill.com,,,GBR,Company,software,,1,computer software,501 - 1000,266,1000,7.82859497284474e-08
6183,c:165674,Alkaid,alkaid.cr,2006-09-01,,CRI,Company,software,,,information technology and services,1 - 10,3,1,1.08536612013731e-08
6184,c:16568,ExaGrid Systems,exagrid.com,2002-01-01,MA,USA,Company,enterprise,72100000,2,computer hardware,201 - 500,157,200,1.45923167581966e-07
6185,c:1657,GridPoint,gridpoint.com,2003-01-01,VA,USA,Company,cleantech,275388886,5,computer software,51 - 200,62,50,7.87091745095991e-08
6187,c:165713,Milecore,milecore.com,2011-01-17,,IND,Company,consulting,,,information technology and services,11 - 50,6,50,8.898582740335142e-09
6190,c:16572,AdChina,adchina.com,2007-01-01,,CHN,Company,advertising,10000000,1,internet,201 - 500,151,500,8.16314230254433e-08
6191,c:165725,The Onstott Group,onstott.com,1987-01-01,MA,USA,Company,consulting,,,staffing and recruiting,1 - 10,4,1,7.927958818322108e-09
6192,c:165726,Readmore,readmo.re,2011-05-16,,NLD,Company,public_relations,,,publishing,1 - 10,0,1,2.98449642696369e-08
6193,c:165727,Plutora,plutora.com,2012-07-13,CA,USA,Company,enterprise,100000,2,computer software,51 - 200,59,50,5.74930570586436e-07
6197,c:165738,Bookish,bookish.com,2011-10-01,NY,USA,Company,web,,1,internet,1 - 10,5,1,3.7991004805832704e-07
6198,c:165743,Cattlesoft,cattlesoft.com,1999-07-09,TX,USA,Company,software,,1,farming,1 - 10,3,1,3.9828778379875e-08
6199,c:165744,Profiles Placement,careerprofiles.com,1998-08-17,DC,USA,Company,other,,1,staffing and recruiting,51 - 200,54,1,7.12917659885163e-08
6200,c:165757,Netcom Learning,netcomlearning.com,1998-01-01,NY,USA,Company,software,,1,information technology and services,201 - 500,110,50,8.54166389197747e-08
6201,c:165771,Wiki-PR,wiki-pr.com,2011-02-01,CA,USA,Company,public_relations,75000,2,writing and editing,11 - 50,4,1,2.23061262009361e-08
6204,c:16578,Fluid Pixel,fpstudios.com,2007-08-08,,GBR,Company,mobile,,,computer software,1 - 10,2,1,1.3357665011743998e-08
6205,c:165790,Tessella,tessella.com,,,GBR,Company,consulting,27941780,,information technology and services,201 - 500,153,1,1.32000763895308e-07
6206,c:165794,Omaze,omaze.com,,CA,USA,Company,web,1000000,,fund-raising,201 - 500,101,50,1.73987107594134e-06
6207,c:165810,Metatagg Solutions,metataggsolutions.com,2010-10-01,,,Company,software,,,information technology and services,51 - 200,17,1,5.30581067204908e-09
6208,c:16582,VeriSilicon Holdings,verisilicon.com,2002-01-01,CA,USA,Company,hardware,58907998,1,semiconductors,201 - 500,198,500,8.966419652264609e-08
6209,c:165827,Mailbird,getmailbird.com,2011-10-11,,IDN,Company,software,,1,computer software,11 - 50,12,1,4.6252051754032296e-07
6210,c:165829,TelAssistant,telassistant.com,,NV,USA,Company,,,,executive office,11 - 50,6,1,6.31610471270719e-09
6211,c:165837,Service Seeking,serviceseeking.com.au,2007-10-01,,,Company,advertising,,1,information technology and services,51 - 200,26,50,1.66963468300018e-07
6212,c:165844,Bluetext,bluetext.com,2011-01-01,DC,USA,Company,public_relations,,1,marketing and advertising,51 - 200,31,1,6.24536481903778e-08
6213,c:165852,Caktus Consulting Group,caktusgroup.com,2007-08-01,NC,USA,Company,software,,1,computer software,11 - 50,14,1,3.11485894353732e-07
6214,c:165853,AgoraPulse,agorapulse.com,2011-01-01,,FRA,Company,software,,2,internet,51 - 200,33,1,4.44392226696493e-06
6215,c:165862,Snibbe Interactive,snibbeinteractive.com,2007-01-01,CA,USA,Company,enterprise,,1,entertainment,1 - 10,4,1,1.84983489130723e-08
6216,c:165868,NGP VAN,ngpvan.com,1997-01-01,DC,USA,Company,software,,3,internet,201 - 500,115,200,1.1456248003574302e-06
6217,c:165885,Azure Promotions,azurepromotions.com,,,,Company,advertising,,,marketing and advertising,1 - 10,1,1,4.7076016576306e-09
6220,c:165901,SmartAsset,smartasset.com,2012-01-01,NY,USA,Company,finance,2400000,3,internet,51 - 200,53,50,4.84500061500018e-06
6221,c:16591,Platinum Equity,platinumequity.com,1995-01-01,CA,USA,Company,other,,3,venture capital & private equity,201 - 500,192,10000,1.61680341527387e-07
6223,c:165910,N-Dimension Solutions,n-dimension.com,,,CAN,Company,security,3850000,,utilities,11 - 50,6,50,2.0041777446671e-08
6224,c:165912,SecureNet Payment Systems,securenet.com,1997-01-01,TX,USA,Company,ecommerce,18000000,,financial services,11 - 50,20,50,2.4833001641999695e-07
6225,c:165913,The Brookeside Group,brookeside.com,2003-01-01,MA,USA,Company,consulting,,1,management consulting,11 - 50,8,1,3.08513530149733e-08
6226,c:165914,Alarm.com,alarm.com,2000-01-01,VA,USA,Company,security,136000000,1,consumer electronics,501 - 1000,480,500,1.8752203461731701e-06
6227,c:16592,People4business,people4business.com,2006-05-01,,GBR,Company,other,,1,staffing and recruiting,1 - 10,2,1,7.4027219424269705e-09
6229,c:165951,PassKit,passkit.com,2012-06-12,,HKG,Company,mobile,1200000,1,information technology and services,11 - 50,6,1,1.7601509315197198e-07
6230,c:16596,Digimind,digimind.com,1998-07-01,MA,USA,Company,software,,,computer software,201 - 500,154,50,5.33454570001266e-07
6232,c:165960,Matrix Bricks Infotech,matrixbricks.com,2011-07-27,,IND,Company,ecommerce,,,information technology and services,11 - 50,15,1,6.184199345326849e-08
6233,c:165979,Adclick,adclickint.com,2007-04-01,,PRT,Company,advertising,,,marketing and advertising,201 - 500,72,50,2.9069579384929504e-08
6234,c:165982,Thinking Giant,thinkinggiant.com,2000-10-15,NY,USA,Company,advertising,,1,marketing and advertising,1 - 10,2,1,6.390421785389611e-09
6235,c:16599,storm ideas,stormideas.com,2008-04-01,,GBR,Company,enterprise,,,internet,11 - 50,11,1,4.2659853616720006e-08
6236,c:165998,Oxyzen Infolab,oxyzen.in,,,IND,Company,mobile,,,information technology and services,11 - 50,10,1,1.95818950149257e-08
6237,c:166020,ESNC,esnc.de,2007-01-01,,,Company,security,,,information technology and services,1 - 10,3,1,1.8852454418966697e-08
6238,c:166021,SyncHR,synchr.com,2005-01-01,CA,USA,Company,software,,2,computer software,51 - 200,61,50,4.16756435541491e-08
6239,c:166028,Appfluence,appfluence.com,2010-01-01,CA,USA,Company,software,,1,computer software,11 - 50,7,1,1.20353424705948e-07
6244,c:166030,PivotDesk,pivotdesk.com,2012-04-01,CO,USA,Company,enterprise,6235015,2,real estate,1 - 10,1,1,1.4741674101696302e-07
6245,c:166031,Timely Network,time.ly,2012-02-01,,CAN,Company,software,307553,2,internet,11 - 50,6,1,1.0087415430507201e-06
6246,c:166044,EcoScraps,ecoscraps.com,2010-01-01,UT,USA,Company,manufacturing,1500000,1,consumer goods,1 - 10,0,1,5.099966843697519e-08
6247,c:166049,bChannels,bchannels.com,,UT,USA,Company,,,1,information technology and services,201 - 500,106,50,9.31687565559078e-09
6248,c:16605,Xtera Communications,xtera.com,1998-01-01,TX,USA,Company,hardware,93150000,1,telecommunications,51 - 200,66,200,5.583513025279549e-08
6249,c:166052,Aditazz,aditazz.com,,CA,USA,Company,,,,architecture & planning,11 - 50,18,1,3.03150403082091e-08
